UNIDADE,FONTE,CONDIÇÃO IDENTIFICADA,AÇÃO INDICADA,SETOR RESPONSÁVEL,SITUAÇÃO,ORÇAMENTO,APROVADO?,REALIZADO?,OBSERVAÇÕES
GLOBAL TREE PENÍNSULA,MANUTENÇÃO,"VAZAMENTO/INFILTRAÇÕES DA QUADRA;
 FISSURA COM CONSTANTE DILATAÇÃO;
SOLICITAÇÃO PARA COBERTURA DA QUADRA",COLOCAÇÃO DE TELHADO NA QUADRA - LEVANTAMENTO DE ESCOPO,ARQUITETURA,Em Andamento,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,EXAUSTÃO SEMI ENTERRADO,COLOCAÇÃO DE VENTILADORES NO PÁTIO,ARQUITETURA,Em Andamento,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,AR CONDICIONADO HALL,COLOCAÇÃO DE AR CONDICIONADO,ARQUITETURA,Em Andamento,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,AUMENTAR DECK DOS CHUVEIROS,AUMENTAR DECK DOS CHUVEIROS,,Pendente,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,"PREVER SUBSTITUIÇÕES DAS JANELAS (SUBSOLO, AUDITÓRIO E HALL)",PREVER SUBSTITUIÇÕES DAS JANELAS ( AUDITÓRIO E HALL),ARQUITETURA,,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,RACHADURA NA LATERAL DA ESCADA PARA O SUBSOLO,,,,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,RETIRADA DE MONOLITICO DANIFICADO,RETIRADA DE MONOLITICO DAFINIFICADO,ARQUITETURA,Em Andamento,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,COLOCAÇÃO DE PISO SPORTIT,COLOCAÇÃO DE PISO SPORTIT,ARQUITETURA,Em Andamento,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,BRINQUEDOS NOVOS,BRINQUEDOS NOVOS,ARQUITETURA,Em Andamento,,,,
GLOBAL TREE PENÍNSULA,UNIDADE,gaveteiro,TR 55885,ARQUITETURA,Resolvido,"R$ 1.030,45",SIM,SIM,
GLOBAL TREE PENÍNSULA,UNIDADE,Serviço de instalação de gerador da escada pressurizada da unidade,95263,ARQUITETURA,Resolvido,"R$ 13.877,00",SIM,SIM,
AMERICANO,UNIDADE,FECHAMENTO QUADRA ESPORTIVA,MATERIAL E MDO,-,-,,,,"PARCEIRO DO ""MAIS AMERICANO"" IRÁ PAGAR O MATERIAL, CUSTO ESTIMADO DEVE SER APENAS DE MDO."
AMERICANO,UNIDADE,SALA STEAM,ADAPTAR MOBILIARIO DE CIENCIAS E MAKER DA RAMIRO NA SALA ATUAL DO LAB DE CIENCIAS,,,,,,
AMERICANO,UNIDADE,SALA DE ATENDIMENTO,"MOBILIÁRIO, PINTURA",,,,,,
AMERICANO,UNIDADE,BANHEIRO INFANTIL,ADEQUAÇÃO DE VASO E PIA PARA A ALTURA INFANTIL,,,,,,
AMERICANO,UNIDADE,PORTÃO DE ACESSO A QUADRA NOVA,,,,,,,
APOGEU FERREIRA GUIMARÃES,UNIDADE,COBERTURA DA QUADRA,,,Pendente,,,,https://drive.google.com/drive/folders/17GVbgtahtjEhrvtX8L0LbEusZi4lyFMc?usp=drive_link
APOGEU FERREIRA GUIMARÃES,UNIDADE,DURANTE CHUVAS A QUADRA MOLHA MUITO POR FALTA DE PLATIBANDA,,,Pendente,,,,https://drive.google.com/drive/folders/17GVbgtahtjEhrvtX8L0LbEusZi4lyFMc?usp=drive_link
APOGEU FERREIRA GUIMARÃES,UNIDADE,"A COZINHA DO INFANTIL SE ENCONTRA NO PREDIO NOVO, EM DIAS DE CHUVA SE TORNA UM PROBLEMA A TRANSIÇÃO DOS ALIMENTOS DE UM PRÉDIO PARA O OUTRO",COLOCAÇÃO DE COBERTURA,,Pendente,,,,https://drive.google.com/drive/folders/17GVbgtahtjEhrvtX8L0LbEusZi4lyFMc?usp=drive_link
APOGEU FERREIRA GUIMARÃES,MANUTENÇÃO,"2 Chapa preta de 20 (0,9mm) tamanho 3 por 1 metro",107102,COMPRAS,Resolvido,"R$ 430,00",SIM,SIM,
APOGEU SANTO ANTÔNIO 1,MANUTENÇÃO,COBERTURA DA QUADRA SEM PLATIBANDAS,,,Pendente,,,,
APOGEU SANTO ANTÔNIO 1,MANUTENÇÃO,DESCIDA DE AGUA DA COBERTURA INSUFICIENTE,,,Pendente,,,,
APOGEU SANTO ANTÔNIO 1,UNIDADE,COBERTURA REFEITÓRIO,,,Pendente,,,,https://drive.google.com/drive/folders/1_7Xay6MQLROdOyzO5gnnJaZVv_g8h5ba?usp=drive_link
APOGEU SANTO ANTÔNIO 1,MANUTENÇÃO,"2 Chapa preta de 20 (0,9mm) tamanho 3 por 1 metro",107104,COMPRAS,Em Andamento,"R$ 430,00",SIM,SIM,
APOGEU SANTO ANTÔNIO 2,MANUTENÇÃO,QUADRA COM DESNIVEL QUE CAUSA QUEDAS,,,Pendente,,,,
APOGEU SANTO ANTÔNIO 2,MANUTENÇÃO,MARQUISE COM VAZAMENTOS,,,Pendente,,,,
APOGEU SANTO ANTÔNIO 2,UNIDADE,CRIAÇÃO DE RECEPÇÃO NA ENTRADA DO PREDIO,,,Pendente,,,,https://drive.google.com/drive/folders/18meRea8DEWP3ET7AKSBLuBapBNSXBNZI?usp=drive_link
APOGEU SANTO ANTÔNIO 2,UNIDADE,COMUNICAÇÃO VISUAL ANTIGA,REVISÃO,CMEF,Pendente,,,,https://drive.google.com/drive/folders/18meRea8DEWP3ET7AKSBLuBapBNSXBNZI?usp=drive_link
APOGEU SANTO ANTÔNIO 2,UNIDADE,FACHADA COMPATIVEL COM A NOVA IDENTIDADE,,,Pendente,,,,https://drive.google.com/drive/folders/18meRea8DEWP3ET7AKSBLuBapBNSXBNZI?usp=drive_link
APOGEU SANTO ANTÔNIO 2,UNIDADE,NOVO ACESSO A ESCOLA,,,Pendente,,,,https://drive.google.com/drive/folders/18meRea8DEWP3ET7AKSBLuBapBNSXBNZI?usp=drive_link
APOGEU ZONA NORTE,MANUTENÇÃO,ESTACIONAMENTO AFUNDANDO PERTO DO CORREGO,,,Pendente,,,,
APOGEU ZONA NORTE,UNIDADE,MURO CÓRREGO,,,Pendente,,,,https://drive.google.com/drive/folders/1nLUIM6iPeplfom_lvmKxVri8P3YzQmno?usp=drive_link
APOGEU ZONA NORTE,UNIDADE,AUDITÓRIO,,,Pendente,,,,https://drive.google.com/drive/folders/1nLUIM6iPeplfom_lvmKxVri8P3YzQmno?usp=drive_link
APOGEU ZONA NORTE,UNIDADE,ÁREA DE CONVIVÊNCIA,,,Pendente,,,,https://drive.google.com/drive/folders/1nLUIM6iPeplfom_lvmKxVri8P3YzQmno?usp=drive_link
APOGEU ZONA NORTE,UNIDADE,QUADRA COBERTA EXTERNA,,,Pendente,,,,https://drive.google.com/drive/folders/1nLUIM6iPeplfom_lvmKxVri8P3YzQmno?usp=drive_link
APOGEU ZONA NORTE,UNIDADE,CRIAÇÃO DE 5 SALAS DE AULA (ONDE FICA A QUADRA INTERNA EXISTENTE),PRODUÇÃO DE PROJETO,ARQUITETURA,Pendente,,,,https://drive.google.com/drive/folders/1nLUIM6iPeplfom_lvmKxVri8P3YzQmno?usp=drive_link
BOM TEMPO,MANUTENÇÃO,INFILTRAÇÃO MURO DO HOSPITAL - CRÔNICO,COLOCAÇÃO DE CERÂMICA - LEVANTAMENTO DE ESCOPO,ARQUITETURA,Pendente,,,,
CUBO ABM,ARQUITETURA,Instalar fechadura eletrônica (14 unidades) - GERAL,,,Em Andamento,,,,
CUBO ABM,ARQUITETURA,Execução de piso sportit - BASE ESCADA METÁLICA,,,Pendente,,,,
CUBO ABM,ARQUITETURA,Instalação de gradis de fechamento nas condensadoras e corredor lateral- TERRAÇO,,,Pendente,,,,
CUBO ABM,ARQUITETURA,Instalar esquadria de vidro fechamento catracas/ acesso pais - TÉRREO,,,Pendente,,,,
CUBO ABM,ARQUITETURA,Mudança porta banheiro PNE secretaria  - TÉRREO,,,Pendente,,,,
CUBO ABM,ARQUITETURA,Colocar mola nas portas banheiros 3° pavto e nas de vidro - 3° PAVTO,,,Em Andamento,,,,
CUBO ABM,ARQUITETURA,Fechamento das condensadoras da cantina - TÉRREO,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Telhado complemento projeção entrada secretaria - TÉRREO,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Vaga PNE com placa e ajuste do tento - TÉRREO,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Interfone na porta pedestres - TÉRREO,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Automação das portas de acesso de veículos - TÉRREO,,,Pendente,,,,
CUBO ABM,ARQUITETURA,Novas cubas para secretarias - TÉRREO,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Pintura do meio fio - TÉRREO,,,Resolvido,,,,
CUBO ABM,ARQUITETURA,Disponibilizar brinquedos de madeira - ENTRADA,,,Em Andamento,,,,
