UNIDADE,FONTE,PEDIDO,TICKET,SETOR RESPONSÁVEL,SITUAÇÃO,ORÇAMENTO,APROVADO?,REALIZADO?,OBSERVAÇÕES
CUBO BOTAFOGO,UNIDADE,Frigobar Eos Ice Compact 47l Branco Efb50 110v,152286,COMPRAS,Resolvido,"R$ 595,48",SIM,SIM,
LEO ALFA,UNIDADE,Troca de piso para entrada da educação infantil,155530,COMPRAS,Cancelado,,,,
LEO ALFA,UNIDADE,troca do piso da sala de descanso do integral.,155455,COMPRAS,Cancelado,,,,
CUBO BARRA GOLF,ARQUITETURA,"Mesa de trabalho pé quadrado na cor preto e tampo na cor macadamia | 120x60x73,5cm | Rio office	3
Cadeira de rodinha preta	3
Armário Fechado - 100 - altura 80cm	3",155143,COMPRAS,Resolvido,"R$ 4.791,00",SIM,SIM,
LEO GAMA,UNIDADE,"Poltrona Lude laranja	4
Poltrona Lude grafite	4
Banco Ilha Lude grafite	1
Mesa Baixa Lude cinza	1
Banco Esfera laranja	4
Banco Esfera cinza	4",155101,COMPRAS,Resolvido,"R$ 13.215,00",SIM,SIM,
MATRIZ  RETIRO,UNIDADE,Bebedouro de Água Industrial Coluna 100 Litros,154498,COMPRAS,Cancelado,,,,
LEO ALFA,UNIDADE,"Caminha Empilhável 1,38m AZUL	30",154884,COMPRAS,Resolvido,"R$ 5.310,00",SIM,SIM,
CUBO ABM,UNIDADE,"ar condicionado 30000 BTU1's
O ar é para colocar na sala de recurso onde ficam alunos de inclusão",155740,COMPRAS,Cancelado,,,,
AMERICANO CABRAL,UNIDADE,colocação de telas nas duas salas de educação infantil,155057,COMPRAS,Resolvido,"R$ 6.200,00",SIM,SIM,
SARAH DAWSEY TIJUCA,MANUTENÇÃO,"torneira	4
acionador para caixa acoplada pne	4
proteror de tomadas	50
protetor de quina	40
Maçaneta Material: Inox Marca: Papaiz Modelo: Inoxvita MI 600 Office Acabamento: Cromo Acetinado	4",154625 - foi colocado na planilha de 2025 por ser vistoria da seeduc,COMPRAS,Cancelado,,,,
SARAH DAWSEY TIJUCA,UNIDADE,"Fita antiderrapante na cor preta, para colocar na rampa de acesso a secretaria, escada da frente e escada que dá na secretaria ",154549,COMPRAS,Cancelado,,,,
SÁ PEREIRA CAPISTRANO,UNIDADE,"Ar condicionado ""central"" para a as salas de gestão na secretaria da Pereirinha

O ar condicionado que atende às salas da gestão e à central de TI da Pereirinha está quebrado expondo os equipamentos de TI a temperaturas mais altas do que o recomendado e inviabilizando o uso correto das salas de Direção, Coordenação e Orientação.
O modelo correto precisa ser verificado pelo refrigerista do Raiz ou por alguma empresa terceirizada. ",156533,COMPRAS,Cancelado,,,,
SÁ PEREIRA MATRIZ,UNIDADE,"Estante de Aço 1,94m x 70cm x 40cm - Laranja (sala de música)	2",156532,COMPRAS,Resolvido,"R$ 1.241,20",SIM,SIM,
SARAH DAWSEY TIJUCA,ARQUITETURA,cortina rolo blackout no auditório,156484,COMPRAS,Em Andamento,,,,
LEO GAMA,MANUTENÇÃO,"ar-condicionado de janela 7.500 BTUs 220v
O ar-condicionado será instalado na guarita da portaria",156885,COMPRAS,Resolvido,"R$ 1.828,00",SIM,SIM,
LEO ALFA,UNIDADE,"Solicitação de troca da porta do SOE do prédio B, por uma de vidro, igual a do refeitório.",158997,COMPRAS,Cancelado,,,,
CUBO BARRA GOLF,UNIDADE,"Gaveteiro Presence 4 Gv Amêndoa	1
armario duas portas branco com chave	3
mural Altura 80 cm X Largura 130 cm	3",158171,COMPRAS,Em Andamento,,,,
QI METROPOLITANO,UNIDADE,"Mesa 70x70 de madeira para área externa, bar e restaurante.	5",151886,COMPRAS,Resolvido,"R$ 765,00",SIM,SIM,
SARAH DAWSEY TIJUCA,ARQUITETURA,"""Porta telada"" na cozinha no térreo",162012,COMPRAS,Em Andamento,,,,
